FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,4757,CanadaSaskatchewanNorthWest,Saskatchewan,North West,2020-11-09 16:22:56.307850,2020-07-30 00:00:00.000000,0.01074781,0.02211678,0.04815476,8,17,38,2,6,16,0.00256251,0.00758307,0.02054974,0.25346625,0.38190010,0.60171510
0,4757,CanadaSaskatchewanNorthWest,Saskatchewan,North West,2020-11-09 16:22:56.307850,2020-07-31 00:00:00.000000,0.01716125,0.03169302,0.06047741,13,25,48,3,7,16,0.00493689,0.00917800,0.02072787,0.25343193,0.38189969,0.60167052
0,4757,CanadaSaskatchewanNorthWest,Saskatchewan,North West,2020-11-09 16:22:56.307850,2020-08-01 00:00:00.000000,0.02194101,0.04188597,0.07221943,17,33,57,5,10,20,0.00695148,0.01302151,0.02539843,0.25331716,0.38189830,0.60158586
0,4757,CanadaSaskatchewanNorthWest,Saskatchewan,North West,2020-11-09 16:22:56.307850,2020-08-02 00:00:00.000000,0.02536586,0.05207216,0.08711543,20,41,69,7,13,25,0.00944983,0.01704781,0.03135043,0.25293683,0.38189369,0.60142515
0,4757,CanadaSaskatchewanNorthWest,Saskatchewan,North West,2020-11-09 16:22:56.307850,2020-08-03 00:00:00.000000,0.02888870,0.06061687,0.10150716,23,48,80,9,17,31,0.01225015,0.02193354,0.03972085,0.25171367,0.38187831,0.60112040
0,4757,CanadaSaskatchewanNorthWest,Saskatchewan,North West,2020-11-09 16:22:56.307850,2020-08-04 00:00:00.000000,0.03386031,0.06977662,0.11626993,27,55,92,11,21,38,0.01425591,0.02701840,0.04809633,0.24813024,0.38182710,0.60054361
0,4757,CanadaSaskatchewanNorthWest,Saskatchewan,North West,2020-11-09 16:22:56.307850,2020-08-05 00:00:00.000000,0.03804696,0.07948799,0.13227331,30,63,105,13,25,45,0.01633125,0.03232063,0.05686167,0.23997009,0.38165707,0.59945590
0,4757,CanadaSaskatchewanNorthWest,Saskatchewan,North West,2020-11-09 16:22:56.307850,2020-08-06 00:00:00.000000,0.05024141,0.09192604,0.14263517,40,73,113,14,29,52,0.01853636,0.03735924,0.06591411,0.22879208,0.38109799,0.59741858
0,4757,CanadaSaskatchewanNorthWest,Saskatchewan,North West,2020-11-09 16:22:56.307850,2020-08-07 00:00:00.000000,0.06044089,0.10260291,0.15625788,48,81,124,18,34,57,0.02291758,0.04341854,0.07259055,0.22147534,0.37672291,0.59365081
0,4757,CanadaSaskatchewanNorthWest,Saskatchewan,North West,2020-11-09 16:22:56.307850,2020-08-08 00:00:00.000000,0.06847953,0.11475469,0.16922718,54,91,135,22,39,62,0.02772580,0.04932533,0.07796549,0.21831268,0.36453490,0.58684345
